Part Description,Vendor,Part Number,Required,Website
,,,,
A4WD1 Chassis,RobotShop,RB-Lyn-454,1,http://www.robotshop.com/en/lynxmotion-aluminum-a4wd1-chassis.html
Wheels (pair),,RB-Trx-11,2,http://www.robotshop.com/en/28-talon-tires-pair.html
Mounting hubs (pair),,RB-Lyn-218,2,http://www.robotshop.com/en/lynxmotion-mounting-hub-12.html
Sensor Bracket MPSH-01,,RB-Lyn-75,3,http://www.robotshop.com/en/lynxmotion-multi-purpose-sensor-housing.html
Pan/Tilt Kit,,RB-Lyn-77,1,http://www.robotshop.com/en/lynxmotion-pan-and-tilt-kit-aluminium.html
Servo motor,,RB-Hit-87,2,http://www.robotshop.com/en/hitec-hs-485hb-servo-motor.html
Standard Gripper Kit A,,RB-Sct-867,1,http://www.robotshop.com/en/actobotics-horizontal-standard-gripper-kit-a.html
,,,,
Gear Motor 131:1 12V,Pololu,2827,4,https://www.pololu.com/product/1447
AltIMU-10 v4 Inertial Measurement Unit,,2470,1,https://www.pololu.com/product/2470
A-Star 32U4 Mini SV Microcontroller,,3104,1,https://www.pololu.com/product/3104
Parallax PING))) sonar sensor,,1605,3,https://www.pololu.com/product/1605
Laser cut bottom plate,,,1,https://github.com/BCLab-UNM/Swarmathon-Robot/blob/master/CAD-Files/Parts/DWG-Files/BottomPlate.dwg
Laser cut top plate,,,1,https://github.com/BCLab-UNM/Swarmathon-Robot/blob/master/CAD-Files/Parts/DWG-Files/TopPlate.dwg
Laser cut cover plate,,,1,https://github.com/BCLab-UNM/Swarmathon-Robot/blob/master/CAD-Files/Parts/DWG-Files/CoverPlate.dwg
Laser cut gripper left finger,,,1,https://github.com/BCLab-UNM/Swarmathon-Robot/blob/master/CAD-Files/Parts/DWG-Files/GripperFingerLeft.dwg
Laser cut gripper right finger,,,1,https://github.com/BCLab-UNM/Swarmathon-Robot/blob/master/CAD-Files/Parts/DWG-Files/GripperFingerRight.dwg
Laser cut gripper wrist,,,1,https://github.com/BCLab-UNM/Swarmathon-Robot/blob/master/CAD-Files/Parts/DWG-Files/GripperWristPlate.dwg
,,,,
Intel NUC,SaiTech,DCCP847DYE,1,http://www.esaitech.com/intel-boxdccp847dye-intel-celeron-847-1-1ghz-intel-qs77-ddr3-a-and-v-and-gbe-pc-barebone-system-grey-mb-p847dye.html
,,,,
Ublox LEA-6 GPS Dev Board,Mouser,932-MIKROE-1032,1,http://www.mouser.com/ProductDetail/mikroElektronika/MIKROE-1032/?qs=sGAEpiMZZMuyGAGFEBEmZt%2fsR%2fWVGgy3
GPS Antenna,,932-MIKROE-363,1,http://www.mouser.com/ProductDetail/mikroElektronika/MIKROE-363/?qs=sGAEpiMZZMuBTKBKvsBmlAVOmRCg5CQMOC0gfeMfl8c%3d
,,,,
Battery Pack: 14.8V 13.6Ah,BatterySpace,CU-JAS316,1,http://www.batteryspace.com/custom-li-ion-18650-battery-pack-14-8v-13-6ah-201wh-10a-rate-2x8s-s.aspx
Smart Charger for 14.8V Li-ion/Polymer Rechargeable Battery,,CH-L1483-52,1,http://www.batteryspace.com/smartcharger30afor148vli-ionpolymerbatterypackstandardfemaletamiyaplug.aspx
,,,,
1ft Micro USB Cable - A to Micro B,Amazon,UUSBHAUB1,1,http://www.amazon.com/gp/product/B002L5ZEYY?psc=1&redirect=true&ref_=oh_aui_detailpage_o00_s00
1-Feet Mini USB 2.0 Cable - A to Mini B,,USB2HABM1,1,http://www.amazon.com/gp/product/B002L5U7N2?psc=1&redirect=true&ref_=oh_aui_detailpage_o00_s00
Premier Pro SP310 SATA 6Gb/s mSATA 32GB SSD,,ASP310S3-32GM-C,1,https://www.amazon.com/gp/product/B00ELQZD10
802.11ac Wireless/Bluetooth Module,,7260.HMWG.R,1,https://www.amazon.com/Intel-7260-HMWG-R-Wireless-AC-Bluetooth-Mounting/dp/B00MY9S692
